"company_id","url_count","reached_count"
763,"7","5"
119,"6","6"
286,"2","0"
306,"2","0"
376,"6","6"
147,"2","0"
480,"6","4"
860,"1","1"
338,"2","0"
358,"2","1"
412,"6","5"
989,"6","4"
26,"6","4"
564,"6","4"
950,"6","5"
72,"6","6"
535,"6","6"
642,"2","0"
232,"6","6"
77,"7","4"
725,"6","5"
131,"6","6"
310,"3","3"
37,"6","5"
832,"2","0"
907,"1","1"
584,"7","6"
746,"2","0"
806,"7","6"
353,"1","1"
939,"2","0"
834,"6","6"
831,"6","4"
813,"2","0"
574,"6","6"
225,"6","6"
333,"2","0"
174,"6","5"
45,"2","0"
134,"2","0"
891,"6","4"
918,"6","4"
975,"2","1"
36,"6","6"
848,"2","0"
430,"7","5"
102,"6","6"
158,"6","5"
533,"6","1"
915,"6","5"
459,"2","0"
207,"6","6"
979,"6","4"
123,"6","6"
871,"6","6"
881,"6","6"
385,"7","6"
492,"2","0"
544,"6","6"
365,"6","6"
704,"2","1"
157,"6","6"
606,"2","0"
618,"6","6"
308,"2","0"
880,"2","1"
313,"2","0"
140,"2","0"
248,"2","1"
137,"2","0"
208,"2","0"
614,"6","6"
392,"2","0"
24,"6","6"
191,"2","0"
966,"1","1"
760,"2","0"
94,"2","0"
218,"6","4"
49,"2","0"
671,"6","5"
580,"6","6"
742,"1","1"
912,"6","6"
846,"2","2"
938,"2","0"
184,"2","0"
87,"6","5"
753,"6","6"
477,"2","0"
550,"6","6"
394,"1","1"
272,"2","0"
781,"6","6"
867,"2","0"
190,"2","0"
858,"2","1"
554,"6","6"
424,"2","0"
406,"2","0"
670,"6","6"
309,"6","5"
849,"7","4"
509,"6","5"
919,"2","0"
156,"6","6"
932,"6","5"
475,"2","1"
641,"2","1"
961,"6","6"
888,"2","1"
282,"6","6"
733,"6","6"
269,"2","0"
261,"6","4"
502,"2","1"
117,"6","6"
257,"3","2"
125,"6","5"
40,"6","6"
700,"2","0"
43,"6","6"
587,"6","6"
187,"6","5"
349,"2","0"
914,"6","6"
728,"6","6"
766,"6","5"
506,"1","1"
242,"3","2"
331,"2","0"
913,"6","6"
599,"2","0"
677,"2","0"
29,"2","0"
4,"1","1"
698,"6","4"
96,"6","5"
466,"1","1"
201,"6","6"
844,"7","6"
980,"6","4"
631,"5","4"
107,"6","4"
6,"6","5"
446,"2","0"
749,"2","0"
86,"6","4"
920,"6","6"
219,"7","6"
363,"6","6"
231,"6","5"
66,"6","6"
340,"6","6"
661,"6","6"
512,"2","0"
873,"6","6"
523,"2","0"
356,"6","6"
414,"6","6"
458,"1","1"
640,"6","6"
368,"6","6"
735,"2","0"
166,"6","6"
538,"4","2"
595,"1","1"
142,"3","2"
924,"6","6"
872,"6","6"
410,"5","5"
792,"7","5"
896,"1","1"
651,"6","5"
381,"6","4"
38,"2","0"
359,"2","0"
597,"2","0"
193,"7","4"
730,"6","5"
548,"6","5"
217,"2","0"
709,"2","1"
47,"7","3"
177,"2","0"
886,"6","5"
727,"6","4"
985,"6","6"
810,"2","0"
779,"1","1"
110,"2","0"
931,"2","0"
145,"2","0"
557,"7","6"
718,"2","0"
623,"6","5"
485,"6","6"
229,"1","1"
559,"6","5"
788,"2","0"
304,"1","1"
52,"6","6"
633,"1","1"
341,"6","5"
450,"1","1"
900,"7","5"
405,"6","5"
170,"6","3"
762,"6","5"
712,"7","6"
996,"2","0"
192,"6","6"
513,"2","0"
101,"6","6"
473,"2","0"
69,"2","0"
878,"6","6"
679,"2","0"
983,"1","1"
375,"6","4"
